Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
CHE,2014,38,73,32,41,-156.98,165.08,8.1,87,2.289473684,-68.56597701,Mourinho,Abramovich,TRUE,FALSE
MCI,2014,38,83,38,45,-117.19,34.91,-82.28,79,2.078947368,-56.36987342,Pellegrini,City_Football,FALSE,FALSE
ARS,2014,38,71,36,35,-135.64,31.69,-103.95,75,1.973684211,-68.72426667,Wenger,ITV_plc,FALSE,FALSE
MAN,2014,38,62,37,25,-222.70,56.16,-166.54,70,1.842105263,-120.8942857,Gaal,Glazer,FALSE,FALSE
TOT,2014,38,58,53,5,-55.26,50.33,-4.93,64,1.684210526,-32.810625,Pochettino,ENIC,FALSE,FALSE
LIV,2014,38,52,48,4,-172.63,113.17,-59.46,62,1.631578947,-105.8054839,Rodgers,Fenway,FALSE,FALSE
SOU,2014,38,54,33,21,-109.44,141.17,31.73,60,1.578947368,-69.312,Koeman,Jisheng,FALSE,FALSE
SWA,2014,38,46,49,-3,-47.34,70.55,23.21,56,1.473684211,-32.12357143,Monk,Nurse,FALSE,FALSE
STK,2014,38,48,45,3,-2.05,4.33,2.28,54,1.421052632,-1.442592593,Hughes,Coates,FALSE,FALSE
CRY,2014,38,47,51,-4,-35.59,3.27,-32.32,48,1.263157895,-28.17541667,Warnock,Parish,FALSE,FALSE
EVE,2014,38,48,50,-2,-45.78,2.17,-43.61,47,1.236842105,-37.01361702,Martinez,Woods,FALSE,FALSE
WHU,2014,38,44,47,-3,-40.07,5.02,-35.05,47,1.236842105,-32.39702128,Allardyce,Sullivan,FALSE,FALSE
WBA,2014,38,38,51,-13,-28.37,2.62,-25.75,44,1.157894737,-24.50136364,Irvine,Peace,FALSE,FALSE
LEI,2014,38,46,55,-9,-26.06,0,-26.06,41,1.078947368,-24.15317073,Pearson,King_Power,FALSE,FALSE
NEW,2014,38,40,63,-23,-51.32,26.92,-24.4,39,1.026315789,-50.00410256,Pardew,Ashley,FALSE,FALSE
AVL,2014,38,31,57,-26,-15.33,1.5,-13.83,38,1,-15.33,Lambert,Lerner,FALSE,FALSE
SUN,2014,38,31,53,-22,-25.78,8.27,-17.51,38,1,-25.78,Poyet,Short,FALSE,FALSE
HUL,2014,38,33,51,-18,-54.97,21.32,-33.65,35,0.921052632,-59.68171429,Bruce,Allam,FALSE,TRUE
BUR,2014,38,28,53,-25,-14.39,0,-14.39,33,0.868421053,-16.57030303,Dyche,Garlick,FALSE,TRUE
QPR,2014,38,42,73,-31,-49.63,29.69,-19.94,30,0.789473684,-62.86466667,Redknapp,Fernandes,FALSE,TRUE
MCI,2013,38,102,37,65,-132.24,12.88,-119.36,86,2.263157895,-58.43162791,Pellegrini,City_Football,TRUE,FALSE
LIV,2013,38,101,50,51,-66.23,37.05,-29.18,84,2.210526316,-29.96119048,Rodgers,Fenway,FALSE,FALSE
CHE,2013,38,71,27,44,-148.60,88.27,-60.33,82,2.157894737,-68.86341463,Mourinho,Abramovich,FALSE,FALSE
ARS,2013,38,68,41,27,-56.15,13.85,-42.3,79,2.078947368,-27.00886076,Wenger,ITV_plc,FALSE,FALSE
EVE,2013,38,61,39,22,-36.25,52.55,16.3,72,1.894736842,-19.13194444,Martinez,Woods,FALSE,FALSE
TOT,2013,38,55,51,4,-138.94,154.38,15.44,69,1.815789474,-76.51768116,Sherwood,ENIC,FALSE,FALSE
MAN,2013,38,64,43,21,-87.93,2.05,-85.88,64,1.684210526,-52.2084375,Moyes,Glazer,FALSE,FALSE
